标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,内存容量,内存类型,内存主频
雷克沙战神之刃 RGB DDR5 6400 32GB(16GBx2) 黑色,829,819.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100061546905.html,https://2c.zol-img.com.cn/product/259_320x240/20/ceNTRR6cvod3k.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
雷克沙战神之刃 RGB DDR5 6800 32GB(16GBx2) 黑色,899,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10112042170781.html,https://2d.zol-img.com.cn/product/259_320x240/63/ceJfIGbiRiwHI.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
雷克沙战神之刃 RGB DDR5 7200 32GB(16GBx2) 黑色,1049,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100068148564.html,https://2d.zol-img.com.cn/product/259_320x240/63/ceJfIGbiRiwHI.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
联想8GB DDR4 2400,239,96.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233694.html,https://2f.zol-img.com.cn/product/197_320x240/827/cenX9BvkCRFI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
联想16GB DDR4 2666（笔记本）,499,159.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233722.html,https://2c.zol-img.com.cn/product/197_320x240/164/ceHUvZ68X61SA.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
联想8GB DDR4 2400（笔记本）,299,105.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233696.html,https://2a.zol-img.com.cn/product/197_320x240/256/ceHl7fgY2lBmw.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2444MHz",笔记本,暂无数据,DDR4,2444MHz
金士顿FURY Beast 16GB DDR5 5200（KF552C40BB/16）,1500,359.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10051241920446.html,https://2d.zol-img.com.cn/product/221_320x240/357/cebWC9v4J23gA.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5200MHz",台式机,暂无数据,DDR5,5200MHz
酷兽夜枭 8GB DDR4 3000,175,,,https://2b.zol-img.com.cn/product/226_320x240/563/ce3zsMIZgF6Y.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
Acer宏碁 Pallas II 凌霜系列 DDR5 6000 32G(16G*2)石耀黑,669,769.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100042828263.html,https://2d.zol-img.com.cn/product/256_320x240/993/ceLHTbl8hF2ko.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
芝奇幻光戟 16GB DDR4 3200（F4-3200C16S-16GTZR）,589,339.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014274452.html,https://2f.zol-img.com.cn/product/221_320x240/545/ceTtGkDjSPhxc.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
Acer宏碁 Vesta II 炫光星舰 DDR5 6600 C34 32GB(16GB×2),879,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100052825869.html,https://2d.zol-img.com.cn/product/259_320x240/729/ceNom1orM8uT6.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6600MHz",台式机,暂无数据,DDR5,6600MHz
联想4GB DDR3L 1600（笔记本）,139,49.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233798.html,https://2a.zol-img.com.cn/product/197_320x240/430/celkKVVAXR4nI.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",笔记本,暂无数据,DDR3L,1600MHz
金士顿骇客神条FURY 8GB DDR4 3200 RGB（HX432C16FB3A/8）,339,,,https://2d.zol-img.com.cn/product/226_320x240/575/ceo0CGpTZRI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
金百达黑爵 16GB DDR4 3200,429,149.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100007177597.html,https://2d.zol-img.com.cn/product/226_320x240/751/cernDiRFmUMD6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
金士顿FURY Beast 32GB DDR4 3200（KF432C16BB/32）,1079,469.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100007628368.html,https://2a.zol-img.com.cn/product/214_320x240/476/cew6IdgYjL0oo.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
光威弈Pro 8GB DDR4 3200马甲条,289,,,https://2d.zol-img.com.cn/product/213_320x240/49/ceQvCSoBLldF6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
阿斯加特洛极T2 DDR4 2666 16GB,439,,,https://2c.zol-img.com.cn/product/197_320x240/62/ceWCUKt0MGXmk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
金百达8GB DDR4 2666（笔记本）,179,79.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100000023390.html,https://2c.zol-img.com.cn/product/226_320x240/190/celf1nGOxUA0k.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
金百达8GB DDR4 2666,219,,,https://2a.zol-img.com.cn/product/195_320x240/758/cedWegQCCpo.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
宏碁 Hermes冰刃系列 32G(16G×2) DDR5 6400 C32,799,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100063072559.html,https://2b.zol-img.com.cn/product/256_320x240/963/cezWpu43NyvSo.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
宏碁 Hermes冰刃系列 DDR5 6400 C32 32GB（16GB×2）海力士M-die,829,799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100109575418.html,https://2b.zol-img.com.cn/product/256_320x240/963/cezWpu43NyvSo.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
宏碁 Hermes冰刃系列 DDR5 6400 C32 48GB（24GB×2）海力士M-die,1439,1299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100089410725.html,https://2b.zol-img.com.cn/product/256_320x240/963/cezWpu43NyvSo.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
芝奇皇家戟 16GB（2×8GB）DDR4 4000（F4-4000C18D-16GTRS）,1399,,,https://2a.zol-img.com.cn/product/221_320x240/720/ceia8n82pWmYY.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：4000MHz",台式机,暂无数据,DDR4,4000MHz
酷兽夜枭 8GB DDR4 2666,219,78.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/69420427667.html,https://2c.zol-img.com.cn/product/225_320x240/308/ceUoWYl8BmMw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
玖合忆界 8GB DDR4 3200,189,86.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10040801455306.html,https://2c.zol-img.com.cn/product/216_320x240/368/ceimp0JivTA82.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
三星8GB DDR4 2400（笔记本）,259,,,https://2e.zol-img.com.cn/product/192_320x240/332/ce0kZOMWeCbRw.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",笔记本,暂无数据,DDR4,2400MHz
科赋BOLT X 8GB DDR4 3600,329,,,https://2b.zol-img.com.cn/product/226_320x240/65/cegholhHWBw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
威刚XPG-Z1威龙 8GB DDR4 2666,315,,,https://2b.zol-img.com.cn/product/222_320x240/681/cexRyawuTfowY.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
光威天策系列 DDR5 6400  32GB(16GB×2),669,649.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10098208142271.html,https://2c.zol-img.com.cn/product/259_320x240/190/cewxIBkGY4tA.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
光威天策系列 DDR5 6400  64GB(32GB×2) 海力士A-die,1299,1399.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10100675847077.html,https://2d.zol-img.com.cn/product/259_320x240/197/ce81Y8skenP0M.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
芝奇皇家戟 16GB DDR4 3200（F4-3200C16D-16GTRS）,910,2156.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10042956411357.html,https://2a.zol-img.com.cn/product/221_320x240/54/ce6HrrRLimLsw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
阿斯加特洛极W2系列 DDR4 3200 8GB RGB灯条,299,,,https://2c.zol-img.com.cn/product/197_320x240/146/ceynY0AfwRVWE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
金百达银爵  32GB（2×16GB）DDR5 6400,999,849.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100049223275.html,https://2f.zol-img.com.cn/product/226_320x240/599/ce8e38rXYay7c.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
铨兴8GB DDR4 3200（笔记本）,229,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10052473946319.html,https://2b.zol-img.com.cn/product/238_320x240/303/ceMRdhZj9vkHs.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
阿斯加特瓦尔基里女武神二代 DDR5 6000 C30 32GB（2×16GB）,779,799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100129593798.html,https://2d.zol-img.com.cn/product/268_320x240/341/cee6pYaPvdfM6.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
朗科越影 8GB DDR4 3200,239,,,https://2a.zol-img.com.cn/product/226_320x240/334/cen5K3nbetR9.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
金士顿骇客神条FURY 8GB DDR4 2666 RGB（HX426C16FB3A/8）,369,,,https://2b.zol-img.com.cn/product/222_320x240/279/ceb8dp61eNhHE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
金士顿16GB DDR4 3200（KVR32N22D8/16）,639,229.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014448188.html,https://2b.zol-img.com.cn/product/207_320x240/743/ce1kJ13sgUxf2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
威刚万紫千红 8GB DDR3 1600,309,159.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/741538.html,https://2b.zol-img.com.cn/product/97_320x240/879/ce4xmjuVUIvPk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
金士顿FURY Beast 8GB DDR4 2666（KF426C16BB/8）,259,,,https://2d.zol-img.com.cn/product/214_320x240/113/cevYkPgeEJw6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
棘蛇8GB DDR3L 1600（笔记本）,185,,,https://2c.zol-img.com.cn/product/226_320x240/974/cecjXPTvg8wqg.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",笔记本,暂无数据,DDR3L,1600MHz
酷兽16GB DDR4 2666（台式机）,399,,,https://2d.zol-img.com.cn/product/207_320x240/865/cegeAT2xFzpM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
光威天策系列 DDR5 5200 16GB,259,239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100042361189.html,https://2f.zol-img.com.cn/product/259_320x240/111/ceIfeSWHyjWU2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5200MHz",台式机,暂无数据,DDR5,5200MHz
光威天策系列 DDR5 5200  32GB(16GB×2),519,,,https://2c.zol-img.com.cn/product/259_320x240/114/cebeRdD3aD9cE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5200MHz",台式机,暂无数据,DDR5,5200MHz
阿斯加特吹雪 DDR5 6400 32GB（2×16GB）,739,889.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100046655862.html,https://2d.zol-img.com.cn/product/259_320x240/333/ce8mli3YJZ4.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
阿斯加特吹雪 DDR5 6000 32GB（2×16GB）,799,789.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100129593812.html,https://2a.zol-img.com.cn/product/268_320x240/950/ce02Q0iqhbg.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
阿斯加特女武神 DDR5 6000 32GB（2×16GB） 海力士M-die,739,,,https://2a.zol-img.com.cn/product/259_320x240/234/ceVuucII4pk2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
阿斯加特女武神 DDR5 6000 32GB（2×16GB） 海力士A-die,839,,,https://2a.zol-img.com.cn/product/259_320x240/234/ceVuucII4pk2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
阿斯加特女武神 DDR5 6000 64GB（2×32GB） 海力士A-die,1469,,,https://2a.zol-img.com.cn/product/259_320x240/234/ceVuucII4pk2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
阿斯加特女武神 DDR5 6400 32GB（2×16GB） 海力士A-die,839,749.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100043725296.html,https://2a.zol-img.com.cn/product/259_320x240/234/ceVuucII4pk2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
阿斯加特女武神 DDR5 6400 64GB（2×32GB） 海力士A-die,1499,2299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100062242013.html,https://2a.zol-img.com.cn/product/259_320x240/234/ceVuucII4pk2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
阿斯加特女武神 DDR5 6800 32GB（2×16GB） 海力士A-die,849,1299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100063570827.html,https://2a.zol-img.com.cn/product/259_320x240/234/ceVuucII4pk2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
阿斯加特女武神 DDR5 6800 48GB（2×24GB） 海力士M-die,1299,1699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100091406956.html,https://2a.zol-img.com.cn/product/259_320x240/234/ceVuucII4pk2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
三星8GB DDR4 2666,259,159.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100007389240.html,https://2a.zol-img.com.cn/product/194_320x240/100/cem3O8z78toP2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
联想4GB DDR3 1600（笔记本）,149,49.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100028274762.html,https://2c.zol-img.com.cn/product/216_320x240/454/celX7EsettcyY.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",笔记本,暂无数据,DDR3,1600MHz
USCorsair（美商海盗船）复仇者LPX DDR4 3600 16GB,219,235.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100038511868.html,https://2d.zol-img.com.cn/product/222_320x240/125/ceRuWBLXal7eU.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
酷兽8GB DDR4 3200笔记本内存,109,75.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100040106830.html,https://2a.zol-img.com.cn/product/260_320x240/550/ceuxMAoHw7O5Q.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
